priority,regex_source_column,exact_source_column,regex_pattern,exact_values,canonical_name,original_condition
336,species_normalized,,aniba firmula,,aniba firmula,"str_detect(tree_species_name_clean, ""aniba firmula"")"
337,species_normalized,,annona mucosa,,annona mucosa,"str_detect(tree_species_name_clean, ""annona mucosa"")"
338,species_normalized,,apeiba tibourbou,,apeiba tibourbou,"str_detect(tree_species_name_clean, ""apeiba tibourbou"")"
339,species_normalized,,apuleia leiocarpa,,apuleia leiocarpa,"str_detect(tree_species_name_clean, ""apuleia leiocarpa"")"
340,species_normalized,,astrocaryum huaimi,,astrocaryum huaimi,"str_detect(tree_species_name_clean, ""astrocaryum huaimi"")"
341,species_normalized,,astronium lecointei,,astronium lecointei,"str_detect(tree_species_name_clean, ""astronium lecointei"")"
342,species_normalized,,astronium urundeuva,,astronium urundeuva,"str_detect(tree_species_name_clean, ""astronium urundeuva"")"
343,species_normalized,,caderno de capoeira,,astronium graveolens,"str_detect(tree_species_name_clean, ""caderno de capoeira"")"
344,species_normalized,,bagassa guianensis,,bagassa guianensis,"str_detect(tree_species_name_clean, ""bagassa guianensis"")"
345,species_normalized,,bauhinia forficata|unha de cabra,,bauhinia forficata,"str_detect(tree_species_name_clean, ""bauhinia forficata|unha de cabra"")"
346,species_normalized,,bauhinia variegata,,bauhinia variegata,"str_detect(tree_species_name_clean, ""bauhinia variegata"")"
347,species_normalized,,bertholletia excelsa,,bertholletia excelsa,"str_detect(tree_species_name_clean, ""bertholletia excelsa"")"
348,species_normalized,,bixa arborea,,bixa arborea,"str_detect(tree_species_name_clean, ""bixa arborea"")"
349,species_normalized,,bixa orellana,,bixa orellana,"str_detect(tree_species_name_clean, ""bixa orellana"")"
350,species_normalized,,byrsonima crispa,,byrsonima crispa,"str_detect(tree_species_name_clean, ""byrsonima crispa"")"
351,species_normalized,,byrsonima cydoniifolia,,byrsonima cydoniifolia,"str_detect(tree_species_name_clean, ""byrsonima cydoniifolia"")"
352,species_normalized,,byrsonima sericea,,byrsonima sericea,"str_detect(tree_species_name_clean, ""byrsonima sericea"")"
353,species_normalized,,calophylum brasiliensis|callophylum braisliense|calophiullum brasilienses|calophyllum brasieliense|calophyllum brasilienses,,calophyllum brasiliense,"str_detect(           tree_species_name_clean,           ""calophylum brasiliensis|callophylum braisliense|calophiullum brasilienses|calophyllum brasieliense|calophyllum brasilienses""         )"
354,species_normalized,,canavalia ensiformis,,canavalia ensiformis,"str_detect(tree_species_name_clean, ""canavalia ensiformis"")"
355,species_normalized,,caryocar cf brasiliense|pequi de capoeira,,caryocar brasiliense,"str_detect(tree_species_name_clean, ""caryocar cf brasiliense|pequi de capoeira"")"
356,species_normalized,,cecropia hololeuca,,cecropia hololeuca,"str_detect(tree_species_name_clean, ""cecropia hololeuca"")"
357,species_normalized,,cercis canadensis,,cercis canadensis,"str_detect(tree_species_name_clean, ""cercis canadensis"")"
358,species_normalized,,chloroleucon cf mangense,,chloroleucon mangense,"str_detect(tree_species_name_clean, ""chloroleucon cf mangense"")"
359,species_normalized,,chrysophyllum splendes,,chrysophyllum splendes,"str_detect(tree_species_name_clean, ""chrysophyllum splendes"")"
360,species_normalized,,clarisia racemosa,,clarisia racemosa,"str_detect(tree_species_name_clean, ""clarisia racemosa"")"
361,species_normalized,,clitoria fairchildian,,clitoria fairchildiana,"str_detect(tree_species_name_clean, ""clitoria fairchildian"")"
362,species_normalized,,clusia cf spiritu-sanctensis,,clusia spiritu-sanctensis,"str_detect(tree_species_name_clean, ""clusia cf spiritu-sanctensis"")"
363,species_normalized,,copaifera langsdorffii,,copaifera langsdorffii,"str_detect(tree_species_name_clean, ""copaifera langsdorffii"")"
364,species_normalized,species_normalized,,cornus,cornus,"tree_species_name_clean %in% c(""cornus"")"
365,species_normalized,,coumo utilis,,coumo utilis,"str_detect(tree_species_name_clean, ""coumo utilis"")"
366,species_normalized,,cupania vernalis,,cupania vernalis,"str_detect(tree_species_name_clean, ""cupania vernalis"")"
367,species_normalized,,cytharexyllum myrianthum,,cytharexyllum myrianthum,"str_detect(tree_species_name_clean, ""cytharexyllum myrianthum"")"
368,species_normalized,,dialium guianense,,dialium guianense,"str_detect(tree_species_name_clean, ""dialium guianense"")"
369,species_normalized,,dinizia excelsa,,dinizia excelsa,"str_detect(tree_species_name_clean, ""dinizia excelsa"")"
370,species_normalized,,dipteryx odorata|dipteryx guianensis,,dipteryx odorata,"str_detect(           tree_species_name_clean,           ""dipteryx odorata|dipteryx guianensis""         )"
371,species_normalized,,dodoanea viscosa sub angustissima|dodonaea viscosa ssp angustissima|dodonaea viscosa sub angustissima|dodonaea viscosa angustissima,,dodonaea viscosa subsp. angustissima,"str_detect(           tree_species_name_clean,           ""dodoanea viscosa sub angustissima|dodonaea viscosa ssp angustissima|dodonaea viscosa sub angustissima|dodonaea viscosa angustissima""         )"
372,species_normalized,,enterolobium contortisiliquum,,enterolobium contortisiliquum,"str_detect(tree_species_name_clean, ""enterolobium contortisiliquum"")"
373,species_normalized,,enterolobium maximum,,enterolobium maximum,"str_detect(tree_species_name_clean, ""enterolobium maximum"")"
374,species_normalized,,enterolobium timbouva,,enterolobium timbouva,"str_detect(tree_species_name_clean, ""enterolobium timbouva"")"
375,species_normalized,,eriotheca pentaphylla,,eriotheca pentaphylla,"str_detect(tree_species_name_clean, ""eriotheca pentaphylla"")"
376,species_normalized,,eugenia brasiliensis,,eugenia brasiliensis,"str_detect(tree_species_name_clean, ""eugenia brasiliensis"")"
377,species_normalized,,eugenia florida,,eugenia florida,"str_detect(tree_species_name_clean, ""eugenia florida"")"
378,species_normalized,,eugenia pyriformis,,eugenia pyriformis,"str_detect(tree_species_name_clean, ""eugenia pyriformis"")"
379,species_normalized,,eugenia stipitata,,eugenia stipitata,"str_detect(tree_species_name_clean, ""eugenia stipitata"")"
380,species_normalized,,eugenia uniflora,,eugenia uniflora,"str_detect(tree_species_name_clean, ""eugenia uniflora"")"
381,species_normalized,,euterpe oleracea,,euterpe oleracea,"str_detect(tree_species_name_clean, ""euterpe oleracea"")"
382,species_normalized,,gallesia integrifolia,,gallesia integrifolia,"str_detect(tree_species_name_clean, ""gallesia integrifolia"")"
383,species_normalized,,garcinia gardneriana|garcinia cf gardneriana,,garcinia gardneriana,"str_detect(tree_species_name_clean, ""garcinia gardneriana|garcinia cf gardneriana"")"
384,species_normalized,,garcinia macrophylla,,garcinia macrophylla,"str_detect(tree_species_name_clean, ""garcinia macrophylla"")"
385,species_normalized,,geissonspermum laeve,,geissonspermum laeve,"str_detect(tree_species_name_clean, ""geissonspermum laeve"")"
386,species_normalized,,genipa americana,,genipa americana,"str_detect(tree_species_name_clean, ""genipa americana"")"
387,species_normalized,,genipa infundibuliformis,,genipa infundibuliformis,"str_detect(tree_species_name_clean, ""genipa infundibuliformis"")"
388,species_normalized,,guatteria australis,,guatteria australis,"str_detect(tree_species_name_clean, ""guatteria australis"")"
389,species_normalized,,handroanthus vellosoi,,handroanthus vellosoi,"str_detect(tree_species_name_clean, ""handroanthus vellosoi"")"
390,species_normalized,,hevea brasiliensis|hevea paraheba|hevea braseliensis|hevea brasileinsis|hevea brasiliensis,,hevea brasiliensis,"str_detect(           tree_species_name_clean,           ""hevea brasiliensis|hevea paraheba|hevea braseliensis|hevea brasileinsis|hevea brasiliensis""         )"
391,species_normalized,,hymenaea courbaril,,hymenaea courbaril,"str_detect(tree_species_name_clean, ""hymenaea courbaril"")"
392,species_normalized,,inga cuil,,inga inicuil,"str_detect(tree_species_name_clean, ""inga cuil"")"
393,species_normalized,,inga cylindrica,,inga cylindrica,"str_detect(tree_species_name_clean, ""inga cylindrica"")"
394,species_normalized,,inga edulis,,inga edulis,"str_detect(tree_species_name_clean, ""inga edulis"")"
395,species_normalized,,inga laurina,,inga laurina,"str_detect(tree_species_name_clean, ""inga laurina"")"
396,species_normalized,,inga sessilis,,inga sessilis,"str_detect(tree_species_name_clean, ""inga sessilis"")"
397,species_normalized,,inga marginata,,inga marginata,"str_detect(tree_species_name_clean, ""inga marginata"")"
398,species_normalized,,inga vera spuria,,inga vera subsp. spuria,"str_detect(tree_species_name_clean, ""inga vera spuria"")"
399,species_normalized,species_normalized,,ingas,inga,"tree_species_name_clean %in% c(""ingas"")"
400,species_normalized,,inga vera wild,,inga vera,"str_detect(tree_species_name_clean, ""inga vera wild"")"
401,species_normalized,,jacaranda copaia,,jacaranda copaia,"str_detect(tree_species_name_clean, ""jacaranda copaia"")"
402,species_normalized,,johanesia princeps,,johanesia princeps,"str_detect(tree_species_name_clean, ""johanesia princeps"")"
403,species_normalized,,kandelia obovate,,kandelia obovate,"str_detect(tree_species_name_clean, ""kandelia obovate"")"
404,species_normalized,,liriodendron tulipifera,,liriodendron tulipifera,"str_detect(tree_species_name_clean, ""liriodendron tulipifera"")"
405,species_normalized,,lodgepole pine,,pinus contorta,"str_detect(tree_species_name_clean, ""lodgepole pine"")"
406,species_normalized,,macrolobium acaciifolium,,macrolobium acaciifolium,"str_detect(tree_species_name_clean, ""macrolobium acaciifolium"")"
407,species_normalized,,macrolobium bifolium,,macrolobium bifolium,"str_detect(tree_species_name_clean, ""macrolobium bifolium"")"
408,species_normalized,,macrosamanea pedicellaris,,macrosamanea pedicellaris,"str_detect(tree_species_name_clean, ""macrosamanea pedicellaris"")"
409,species_normalized,,manilkara salzmanii,,manilkara salzmanii,"str_detect(tree_species_name_clean, ""manilkara salzmanii"")"
410,species_normalized,,\bmanikara app\b,,manilkara,"str_detect(tree_species_name_clean, ""\\bmanikara app\\b"")"
411,species_normalized,,mauritia flexuosa,,mauritia flexuosa,"str_detect(tree_species_name_clean, ""mauritia flexuosa"")"
412,species_normalized,,melocanna bambusoides,,melocanna bambusoides,"str_detect(tree_species_name_clean, ""melocanna bambusoides"")"
413,species_normalized,,mezilaurus itauba,,mezilaurus itauba,"str_detect(tree_species_name_clean, ""mezilaurus itauba"")"
414,species_normalized,,myrcia rostrata,,myrcia rostrata,"str_detect(tree_species_name_clean, ""myrcia rostrata"")"
415,species_normalized,,myrciaria dubia,,myrciaria dubia,"str_detect(tree_species_name_clean, ""myrciaria dubia"")"
416,species_normalized,,oenocarpus bacaba,,oenocarpus bacaba,"str_detect(tree_species_name_clean, ""oenocarpus bacaba"")"
417,species_normalized,,oenocarpus bataua,,oenocarpus bataua,"str_detect(tree_species_name_clean, ""oenocarpus bataua"")"
418,species_normalized,,ormosia excelsa,,ormosia excelsa,"str_detect(tree_species_name_clean, ""ormosia excelsa"")"
419,species_normalized,,ormosia paraensis,,ormosia paraensis,"str_detect(tree_species_name_clean, ""ormosia paraensis"")"
420,species_normalized,,parkia multijuga,,parkia multijuga,"str_detect(tree_species_name_clean, ""parkia multijuga"")"
421,species_normalized,,parkia pendula,,parkia pendula,"str_detect(tree_species_name_clean, ""parkia pendula"")"
422,species_normalized,,pinus echinata,,pinus echinata,"str_detect(tree_species_name_clean, ""pinus echinata"")"
423,species_normalized,,piptadenia gonoacantha,,piptadenia gonoacantha,"str_detect(tree_species_name_clean, ""piptadenia gonoacantha"")"
424,species_normalized,,plinia cauliflora,,plinia cauliflora,"str_detect(tree_species_name_clean, ""plinia cauliflora"")"
425,species_normalized,,ponderosa pine,,pinus ponderosa,"str_detect(tree_species_name_clean, ""ponderosa pine"")"
426,species_normalized,,pouteria caimito,,pouteria caimito,"str_detect(tree_species_name_clean, ""pouteria caimito"")"
427,species_normalized,,pouteria macrophylla,,pouteria macrophylla,"str_detect(tree_species_name_clean, ""pouteria macrophylla"")"
428,species_normalized,,pouteria gardneri,,pouteria gardneri,"str_detect(tree_species_name_clean, ""pouteria gardneri"")"
429,species_normalized,,pouteria adolfi-friedericii,,pouteria adolfi-friedericii,"str_detect(tree_species_name_clean, ""pouteria adolfi-friedericii"")"
430,species_normalized,,pouteria torta,,pouteria torta,"str_detect(tree_species_name_clean, ""pouteria torta"")"
431,species_normalized,,pouteria villamilii,,pouteria villamilii,"str_detect(tree_species_name_clean, ""pouteria villamilii"")"
432,species_normalized,,protium heptaphyllum|protium heptaphila,,protium heptaphyllum,"str_detect(tree_species_name_clean, ""protium heptaphyllum|protium heptaphila"")"
433,species_normalized,,prunus serontina,,prunus serontina,"str_detect(tree_species_name_clean, ""prunus serontina"")"
434,species_normalized,,quercus alba,,quercus alba,"str_detect(tree_species_name_clean, ""quercus alba"")"
435,species_normalized,,quercus prinus,,quercus prinus,"str_detect(tree_species_name_clean, ""quercus prinus"")"
436,species_normalized,,robinia pseudoacacia,,robinia pseudoacacia,"str_detect(tree_species_name_clean, ""robinia pseudoacacia"")"
437,species_normalized,,samanea tubulosa,,samanea tubulosa,"str_detect(tree_species_name_clean, ""samanea tubulosa"")"
438,species_normalized,,sapindus saponaria,,sapindus saponaria,"str_detect(tree_species_name_clean, ""sapindus saponaria"")"
439,species_normalized,,shinus terebentifolius|schinus terebinthifolia|schinus terebinthifolius|schinus tereninthifolius|schinus terebenthifolia|schinus terebinthifolius,,schinus terebinthifolia,"str_detect(           tree_species_name_clean,           ""shinus terebentifolius|schinus terebinthifolia|schinus terebinthifolius|schinus tereninthifolius|schinus terebenthifolia|schinus terebinthifolius""         )"
440,species_normalized,,simarouba amara,,simarouba amara,"str_detect(tree_species_name_clean, ""simarouba amara"")"
441,species_normalized,,spondias lutea,,spondias lutea,"str_detect(tree_species_name_clean, ""spondias lutea"")"
442,species_normalized,,spondias mombin,,spondias mombin,"str_detect(tree_species_name_clean, ""spondias mombin"")"
443,species_normalized,,spruce hybrid,,picea,"str_detect(tree_species_name_clean, ""spruce hybrid"")"
444,species_normalized,,sterculia chicha,,sterculia chicha,"str_detect(tree_species_name_clean, ""sterculia chicha"")"
445,species_normalized,,sterculia striata,,sterculia striata,"str_detect(tree_species_name_clean, ""sterculia striata"")"
446,species_normalized,,stryphnodendron pulcherrimum,,stryphnodendron pulcherrimum,"str_detect(tree_species_name_clean, ""stryphnodendron pulcherrimum"")"
447,species_normalized,,swartzia euxylophora,,swartzia euxylophora,"str_detect(tree_species_name_clean, ""swartzia euxylophora"")"
448,species_normalized,,tabebuia heptaphylla,,tabebuia heptaphylla,"str_detect(tree_species_name_clean, ""tabebuia heptaphylla"")"
449,species_normalized,,tabebuia impetiginosa|tebeuia inpectinosa,,tabebuia impetiginosa,"str_detect(           tree_species_name_clean,           ""tabebuia impetiginosa|tebeuia inpectinosa""         )"
450,species_normalized,,tabebuia serratifolia,,tabebuia serratifolia,"str_detect(tree_species_name_clean, ""tabebuia serratifolia"")"
451,species_normalized,,tachigali guianensis,,tachigali guianensis,"str_detect(tree_species_name_clean, ""tachigali guianensis"")"
452,species_normalized,,talisia esculenta,,talisia esculenta,"str_detect(tree_species_name_clean, ""talisia esculenta"")"
453,species_normalized,,tapirira guianensis,,tapirira guianensis,"str_detect(tree_species_name_clean, ""tapirira guianensis"")"
454,species_normalized,,terminalia amazonia,,terminalia amazonia,"str_detect(tree_species_name_clean, ""terminalia amazonia"")"
455,species_normalized,,terminalia corrugata,,terminalia corrugata,"str_detect(tree_species_name_clean, ""terminalia corrugata"")"
456,species_normalized,,toulicia guianensis,,toulicia guianensis,"str_detect(tree_species_name_clean, ""toulicia guianensis"")"
457,species_normalized,,trema micrantha,,trema micranthum,"str_detect(tree_species_name_clean, ""trema micrantha"")"
458,species_normalized,,trembling aspen,,populus tremuloides,"str_detect(tree_species_name_clean, ""trembling aspen"")"
459,species_normalized,,viburnum,,viburnum,"str_detect(tree_species_name_clean, ""viburnum"")"
460,species_normalized,,leptolobium nitens,,leptolobium nitens,"str_detect(tree_species_name_clean, ""leptolobium nitens"")"
461,species_normalized,,puteria torta,,puteria torta,"str_detect(tree_species_name_clean, ""puteria torta"")"
462,species_normalized,,mimusops coriacea,,mimusops coriacea,"str_detect(tree_species_name_clean, ""mimusops coriacea"")"
463,species_normalized,species_normalized,,acacia dealbata dealbata,acacia dealbata subsp. dealbata,"tree_species_name_clean %in% c(""acacia dealbata dealbata"")"
464,species_normalized,,aegiphila intergrifolia|aegiphila integrifolia,,aegiphila intergrifolia,"str_detect(           tree_species_name_clean,           ""aegiphila intergrifolia|aegiphila integrifolia""         )"
465,species_normalized,,albizia niopoides,,albizia niopoides,"str_detect(tree_species_name_clean, ""albizia niopoides"")"
466,species_normalized,,alchornea triplinervia,,alchornea triplinervia,"str_detect(tree_species_name_clean, ""alchornea triplinervia"")"
467,species_normalized,,allophyllus edulis,,allophyllus edulis,"str_detect(tree_species_name_clean, ""allophyllus edulis"")"
468,species_normalized,,amburana acreana,,amburana acreana,"str_detect(tree_species_name_clean, ""amburana acreana"")"
469,species_normalized,,protium heptaphilla,,protium heptaphilla,"str_detect(tree_species_name_clean, ""protium heptaphilla"")"
470,species_normalized,,anadenanthera macrocarpa,,anadenanthera macrocarpa,"str_detect(tree_species_name_clean, ""anadenanthera macrocarpa"")"
471,species_normalized,,anadenanthera peregrina,,anadenanthera peregrina,"str_detect(tree_species_name_clean, ""anadenanthera peregrina"")"
472,species_normalized,,andira fraxinifolia,,andira fraxinifolia,"str_detect(tree_species_name_clean, ""andira fraxinifolia"")"
473,species_normalized,,anadenanthera eregrina,,anadenanthera eregrina,"str_detect(tree_species_name_clean, ""anadenanthera eregrina"")"
474,species_normalized,,adenatera pavoronica|adenathera pavaronica|adenanthera pavonia|adenathera pavonica|adenathera pavonina|adenatera pavonina|adenatera pavaronica,,adenanthera pavonina,"str_detect(           tree_species_name_clean,           ""adenatera pavoronica|adenathera pavaronica|adenanthera pavonia|adenathera pavonica|adenathera pavonina|adenatera pavonina|adenatera pavaronica""         )"
475,species_normalized,,annona coriaceae,,annona coriaceae,"str_detect(tree_species_name_clean, ""annona coriaceae"")"
476,species_normalized,,\baraca\b,,psidium,"str_detect(tree_species_name_clean, ""\\baraca\\b"")"
477,species_normalized,,arapatiella psilophylla|arapatiella psilophilla,,arapatiella psilophylla,"str_detect(           tree_species_name_clean,           ""arapatiella psilophylla|arapatiella psilophilla""         )"
478,species_normalized,,schinus terebentifolius,,schinus terebinthifolius,"str_detect(tree_species_name_clean, ""schinus terebentifolius"")"
479,species_normalized,,brosimum alicastrum,,brosimum alicastrum,"str_detect(tree_species_name_clean, ""brosimum alicastrum"")"
480,species_normalized,,caesalpinea echinata,,caesalpinea echinata,"str_detect(tree_species_name_clean, ""caesalpinea echinata"")"
481,species_normalized,,caesalpinea ferrea,,caesalpinea ferrea,"str_detect(tree_species_name_clean, ""caesalpinea ferrea"")"
482,species_normalized,,caesalpinia eriostachys,,caesalpinia eriostachys,"str_detect(tree_species_name_clean, ""caesalpinia eriostachys"")"
483,species_normalized,,peltophorum dubium,,peltophorum dubium,"str_detect(tree_species_name_clean, ""peltophorum dubium"")"
484,species_normalized,,canela folha longa,,ocotea puberula,"str_detect(tree_species_name_clean, ""canela folha longa"")"
485,species_normalized,,cariniana estrellensis|cariniana estre,,cariniana estrellensis,"str_detect(           tree_species_name_clean,           ""cariniana estrellensis|cariniana estre""         )"
486,species_normalized,,cariniana legalis,,cariniana legalis,"str_detect(tree_species_name_clean, ""cariniana legalis"")"
487,species_normalized,,cariniana micrantha,,cariniana micrantha,"str_detect(tree_species_name_clean, ""cariniana micrantha"")"
488,species_normalized,,jacaranda micrantha,,jacaranda micrantha,"str_detect(tree_species_name_clean, ""jacaranda micrantha"")"
489,species_normalized,,jacaranda brasiliana,,jacaranda brasiliana,"str_detect(tree_species_name_clean, ""jacaranda brasiliana"")"
490,species_normalized,,castilla ulei,,castilla ulei,"str_detect(tree_species_name_clean, ""castilla ulei"")"
491,species_normalized,,cecropia pachystachya|cecropiapachystachya,,cecropia pachystachya,"str_detect(           tree_species_name_clean,           ""cecropia pachystachya|cecropiapachystachya""         )"
492,species_normalized,,ceiba aesculifolia parvifolia,,ceiba aesculifolia subsp parvifolia,"str_detect(tree_species_name_clean, ""ceiba aesculifolia parvifolia"")"
493,species_normalized,,ceiba aesculifolia,,ceiba aesculifolia,"str_detect(tree_species_name_clean, ""ceiba aesculifolia"")"
494,species_normalized,,ceiba pubiflora,,ceiba pubiflora,"str_detect(tree_species_name_clean, ""ceiba pubiflora"")"
495,species_normalized,,citarexylum myrianthum|citarexilum mirianthum|citharexylum myrianthum,,citharexylum myrianthum,"str_detect(           tree_species_name_clean,           ""citarexylum myrianthum|citarexilum mirianthum|citharexylum myrianthum""         )"
496,species_normalized,,cochlospermum vitifolium|cochlospermun vitifolium|cochlolospermun vitifolium,,cochlospermum vitifolium,"str_detect(tree_species_name_clean, ""cochlospermum vitifolium|cochlospermun vitifolium|cochlolospermun vitifolium"")"
497,species_normalized,,colubrina glandulosa,,colubrina glandulosa,"str_detect(tree_species_name_clean, ""colubrina glandulosa"")"
498,species_normalized,,combretum leprosum,,combretum leprosum,"str_detect(tree_species_name_clean, ""combretum leprosum"")"
499,species_normalized,,copafera grycycarpa,,copaifera glycycarpa,"str_detect(tree_species_name_clean, ""copafera grycycarpa"")"
500,species_normalized,,copaifera lucens,,copaifera lucens,"str_detect(tree_species_name_clean, ""copaifera lucens"")"
501,species_normalized,,cordia magnoliifolia,,cordia magnoliifolia,"str_detect(tree_species_name_clean, ""cordia magnoliifolia"")"
502,species_normalized,,cordia tricothoma|cordia trichotoma,,cordia tricothoma,"str_detect(           tree_species_name_clean,           ""cordia tricothoma|cordia trichotoma""         )"
503,species_normalized,,couratari guianensis,,couratari guianensis,"str_detect(tree_species_name_clean, ""couratari guianensis"")"
504,species_normalized,,croton floribundus,,croton floribundus,"str_detect(tree_species_name_clean, ""croton floribundus"")"
505,species_normalized,,croton lechleri,,croton lechleri,"str_detect(tree_species_name_clean, ""croton lechleri"")"
506,species_normalized,,croton urucurana,,croton urucurana,"str_detect(tree_species_name_clean, ""croton urucurana"")"
507,species_normalized,,cyntharexyllum myrianthum|cytharexyllum myrianthum|pau viola,,citharexylum myrianthum,"str_detect(           tree_species_name_clean,           ""cyntharexyllum myrianthum|cytharexyllum myrianthum|pau viola""         )"
508,species_normalized,,dalbergia nigra,,dalbergia nigra,"str_detect(tree_species_name_clean, ""dalbergia nigra"")"
509,species_normalized,,diphysa americana|diphisa americana|diphisa amerina|dhypisa americana,,diphysa americana,"str_detect(           tree_species_name_clean,           ""diphysa americana|diphisa americana|diphisa amerina|dhypisa americana""         )"
510,species_normalized,,diplotropis purpurea,,diplotropis purpurea,"str_detect(tree_species_name_clean, ""diplotropis purpurea"")"
511,species_normalized,species_normalized,,dracaena || dracenna,dracaena,"tree_species_name_clean %in% c(""dracaena"", ""dracenna"")"
512,species_normalized,,entada strichnostachy|intada strichnostachys|entada chrystachys,,entada chrysostachys,"str_detect(           tree_species_name_clean,           ""entada strichnostachy|intada strichnostachys|entada chrystachys""         )"
513,species_normalized,,enterolobium ciclocarpum|enterolobium cyclocarp|enterolobium cyclocarpum,,enterolobium cyclocarpum,"str_detect(           tree_species_name_clean,           ""enterolobium ciclocarpum|enterolobium cyclocarp|enterolobium cyclocarpum""         )"
514,species_normalized,,enterolobium schomburgkii,,enterolobium schomburgkii,"str_detect(tree_species_name_clean, ""enterolobium schomburgkii"")"
515,species_normalized,,erythrophleum graeveolens|erythrophleum graveolens|erythropleum graveolo|erythrophleum suaveolensaf,,erythrophleum suaveolens,"str_detect(           tree_species_name_clean,           ""erythrophleum graeveolens|erythrophleum graveolens|erythropleum graveolo|erythrophleum suaveolensaf""         )"
516,species_normalized,,eschweilera ovata,,eschweilera ovata,"str_detect(tree_species_name_clean, ""eschweilera ovata"")"
517,species_normalized,,euterpe precatoria,,euterpe precatoria,"str_detect(tree_species_name_clean, ""euterpe precatoria"")"
518,species_normalized,,gilberiodendron dewevrii|gilbertiodendron dewevrii|gilbertiondendron dewevrii|gilbertodendrion dewevrii|gilbertodendron dewevrii,,gilbertiodendron dewevrei,"str_detect(           tree_species_name_clean,           ""gilberiodendron dewevrii|gilbertiodendron dewevrii|gilbertiondendron dewevrii|gilbertodendrion dewevrii|gilbertodendron dewevrii""         )"
519,species_normalized,,astronium fraxinifolium,,astronium fraxinifolium,"str_detect(tree_species_name_clean, ""astronium fraxinifolium"")"
520,species_normalized,,guapira opposita,,guapira opposita,"str_detect(tree_species_name_clean, ""guapira opposita"")"
521,species_normalized,,guazuma ulmifolia|guatemala ulmifolia,,guazuma ulmifolia,"str_detect(tree_species_name_clean, ""guazuma ulmifolia|guatemala ulmifolia"")"
522,species_normalized,,guibourtia demeusei|guibourtha demeusii|guibourthia demeusii|guibourtia demeusi|guibourtia demeusii,,guibourtia demeusei,"str_detect(           tree_species_name_clean,           ""guibourtia demeusei|guibourtha demeusii|guibourthia demeusii|guibourtia demeusi|guibourtia demeusii""         )"
523,species_normalized,,handroanthus impetiginosus,,handroanthus impetiginosus,"str_detect(tree_species_name_clean, ""handroanthus impetiginosus"")"
524,species_normalized,,himatanthus phagedaenicu,,himatanthus phagedaenicus,"str_detect(tree_species_name_clean, ""himatanthus phagedaenicu"")"
525,species_normalized,,homalium trichostemon,,homalium trichostemon,"str_detect(tree_species_name_clean, ""homalium trichostemon"")"
526,species_normalized,,humira balsamifera,,humira balsamifera,"str_detect(tree_species_name_clean, ""humira balsamifera"")"
527,species_normalized,,hymenaea parvifolia,,hymenaea parvifolia,"str_detect(tree_species_name_clean, ""hymenaea parvifolia"")"
528,species_normalized,,hymenolobium petreum,,hymenolobium petreum,"str_detect(tree_species_name_clean, ""hymenolobium petreum"")"
529,species_normalized,,zeyheria tuberculosa,,zeyheria tuberculosa,"str_detect(tree_species_name_clean, ""zeyheria tuberculosa"")"
530,species_normalized,,ipe verde,,cybistax antisyphilitica,"str_detect(tree_species_name_clean, ""ipe verde"")"
531,species_normalized,,jabuti de macaco,,hymenolobium sericeum,"str_detect(tree_species_name_clean, ""jabuti de macaco"")"
532,species_normalized,,jaracatia spinosa,,jaracatia spinosa,"str_detect(tree_species_name_clean, ""jaracatia spinosa"")"
533,species_normalized,,joannesia princeps,,joannesia princeps,"str_detect(tree_species_name_clean, ""joannesia princeps"")"
534,species_normalized,,euterpe edulis,,euterpe edulis,"str_detect(tree_species_name_clean, ""euterpe edulis"")"
535,species_normalized,,kunzeaspp,,kunzea,"str_detect(tree_species_name_clean, ""kunzeaspp"")"
536,species_normalized,,lecythis pisonis,,lecythis pisonis,"str_detect(tree_species_name_clean, ""lecythis pisonis"")"
537,species_normalized,,leptospermumspp,,leptospermum,"str_detect(tree_species_name_clean, ""leptospermumspp"")"
538,species_normalized,species_normalized,litchi chinensis,lichi || litchi sinensis,litchi chinensis,"tree_species_name_clean %in% c(""lichi"", ""litchi sinensis"") |            str_detect(tree_species_name_clean, ""litchi chinensis"")"
539,species_normalized,species_normalized,,liqui dambar,liquidambar,"tree_species_name_clean %in% c(""liqui dambar"")"
540,species_normalized,,machaerium nictitans,,machaerium nictitans,"str_detect(tree_species_name_clean, ""machaerium nictitans"")"
541,species_normalized,,margaritaria nobilis,,margaritaria nobilis,"str_detect(tree_species_name_clean, ""margaritaria nobilis"")"
542,species_normalized,,mimosa bimucronata,,mimosa bimucronata,"str_detect(tree_species_name_clean, ""mimosa bimucronata"")"
543,species_normalized,,maytenus obtusifolia,,maytenus obtusifolia,"str_detect(tree_species_name_clean, ""maytenus obtusifolia"")"
544,species_normalized,,micropholis venulosa,,micropholis venulosa,"str_detect(tree_species_name_clean, ""micropholis venulosa"")"
545,species_normalized,,mimosa bimucronata,,mimosa bimucronata,"str_detect(tree_species_name_clean, ""mimosa bimucronata"")"
546,species_normalized,,mimosa caesalpinifolia|mimosa caesalpiniifolia,,mimosa caesalpiniifolia,"str_detect(           tree_species_name_clean,           ""mimosa caesalpinifolia|mimosa caesalpiniifolia""         )"
547,species_normalized,,humira balsamifera,,humira balsamifera,"str_detect(tree_species_name_clean, ""humira balsamifera"")"
