tree_species_uuid,name_clean
e347902d-45b8-49e0-9346-8dd985f2eba8,Acacia karroo
3615a55c-e879-4fea-998e-f8a3b505abcd,Acacia karroo
570a58a2-b5a5-4606-9e65-4ae32541d3f8,Acacia karroo
c50db9a0-f47d-4dd7-95d1-e390d7cc49f3,Acacia magium
8a7d2516-15d3-42b8-8b80-ac973672d03d,Acacia magnum
9eac41e9-6345-4280-99cb-7dcaeaf08972,Acacia mangium
97e602f0-b09f-48da-bfe7-5db73d8d27f0,Acacia mearnsii
43fff34d-7d4e-4670-8c6c-278a698d9e10,Acacia nigrenscens
b77ba19d-d542-48c9-9849-8b287c49ffd6,Acacia nigrenscens
bf5def5d-b1dc-45e5-bb8f-2401917dedf0,Acacia nigrenscens
0fea44de-48bd-4aed-ab44-28dbd09cf5e2,Acacia nigrescens
71fefba4-dd83-4976-b68f-ddc59d3291ec,Acacia nigrescens
9fc93f26-d7de-4973-be21-c036e87ca8a5,Acacia nigrescens
ac1c5c90-1500-4153-b5c5-ad1cc11350e9,Acacia nigrescens
e9b1da4b-282d-4ce3-b610-7568b37a6a83,Acacia nigrescens
d2c6f1f9-4a56-4342-bfab-0442f0e86261,Acacia nigrescens
e7b6f6da-f6b4-4369-b85a-723849d358bb,Acacia nigrescens
6f68fcee-3b76-44e7-bcc8-4d02d80a17a7,Acacia nigrescens
ed5c3e85-801d-475e-99f6-c8d2a7e14d76,Acacia nigresens
d0b6fd68-6c79-4b93-9509-1d0118bcaec0,Acacia nigresens
1b0550cb-55ac-4af4-bd76-420a267a8030,Acacia nigresens
ce1906bc-a2b1-4018-8f17-bb4381495e83,Acacia nilotica
ffbe248b-888e-47d0-a288-807de1560614,Acacia nilotica
607f16fd-4e85-457d-b4a2-e31e7c9f57d7,Acacia nilotica
489b442b-3784-4a21-9a9e-25d7ae1a242d,Acacia nilotica
bfedd683-1cb3-4f19-9c00-639bca9387aa,Acacia nilotica
2a50fae0-65e7-4ba9-89ed-c224ada12513,Acacia nilotica
8502c404-cc26-41a7-8382-b933a142eba6,Acacia nilotica
18deb566-0768-49a1-a79d-b96af0ee7b43,Acacia nilotica
d7b6cf9e-9142-458f-9851-c9576a2b0997,Acacia nilotica
5f6c425f-b7c4-4dd4-a299-88941970f779,Acacia nilotica
7999d00a-1ed5-410c-8790-710b6f95ee7a,Acacia nilotica
9a26a527-38bc-4242-a37b-5b0e92030d1a,Acacia nilotica
939afd39-dbf2-438f-9645-dcc389c983bc,Acacia nilotica
57eaa0cc-c2b7-4aa9-aa2d-87dd2e1eb3e9,Acacia nilotica
3f99c6fe-e77d-4992-92c2-683fcf2e1160,Acacia nilotica
183a544c-639d-4940-adeb-33d4cf3786eb,Acacia nilotica
7af7a38c-188e-42dc-8a7d-eade3702c4a5,Acacia nilotica
15644691-4515-47bf-952e-6e551c5149c6,Acacia nilotica
501b8e5c-11cc-4c25-8e3d-4fb7d4def56a,Acacia nilotica
0f359632-0fb1-41ed-8860-3ea2e3709d7d,Acacia nilotica
72a65af5-0a4f-4b06-8918-a58b910889d1,Acacia nilotica
d8cc6ff0-bb1c-4d69-8f78-d4134ad385b7,Acacia nilotica
79cb5e90-b192-4b2d-8b70-e685e312c963,Acacia nilotica
d18cf962-bdc5-4f29-8ac5-abf45b7de004,Acacia nilotica
31d0e685-ad9c-4aa5-a54b-220f9ae22c39,Acacia nilotica
f2da9c92-efe4-43dc-a9a7-094069e3a53c,Acacia nilotica
b75a4fc2-301f-441d-82cf-0f5b69cb3597,Acacia nilotica
7f50f337-7cb8-489e-8f88-6d7245f34e5b,Acacia nilotica
4fc42e69-0007-45cf-916b-aa2a3530bf21,Acacia nilotica
20fbec39-151b-4f6b-ad16-eb51ca50e100,Acacia nilotica
abf3ded5-5aba-48cb-b147-dac3f395e422,Acacia nilotica
6a7cd705-e7bf-4970-a6d9-38c3746af7d1,Acacia nilotica
89390751-b210-4231-924f-aaed78dafd39,Acacia nilotica
a37ce632-3bf3-412a-86c5-48e613cd0cc4,Acacia nilotica
f1eb1322-e9b4-4b9c-bb49-bf7202221e88,Acacia nilotica
c2d3482c-a584-4272-8407-8df53efdc62b,Acacia nilotica
ee506bad-1265-4263-85bc-afe4bb913dbe,Acacia nilotica
a749d357-cd2d-4338-b6ba-19d303e9ea37,Acacia nilotica
db664552-9ba0-4db7-9fce-28fc2c758811,Acacia nilotica
c6321f0b-05a8-429d-af29-7b7b7cb93c6b,Acacia nilotica
2a3e9fb5-f2a3-4f2b-b83f-7c4d966c2308,Acacia nilotica
68798cb4-095c-4956-9c5f-1c78cd89c1c2,Acacia nilotica
d765a1f2-9260-4612-a148-7e24ae2fe191,Acacia nilotica
aa257d9e-5077-4a62-b773-affb561ed051,Acacia polyacantha
ed0a9448-fc11-4632-b5e4-136e4da1d012,Acacia polyacantha
22c609ab-6a38-4f90-9572-1358c0541ac9,Acacia polyacantha
bb5162f2-bf90-4036-80f0-dd0fdf8ddff2,Acacia polyacantha
e47fe451-d4f9-406a-bd67-2c5d11647c82,Acacia polyacantha
4573fbb1-ea17-4b5d-8fb7-3afa4044460c,Acacia polyacantha
469e1c7d-6ba9-44df-ba2f-2506ecdb1c12,Acacia polyacantha
d28e7924-66f4-4a33-b6ef-61960923292b,Acacia saligna
69ff9eb4-7fa3-470c-96d6-0f0a0ec6ebd9,Acacia senegal
d60e32a2-6a1d-4ef2-8eda-bea3447e610e,Acacia senegal
3b2b9913-44f9-433a-afd2-b1ef1d4a7c18,Acacia seyal
a5c174c5-78d0-4c9c-8a01-149fc67fc664,Acacia sieberiana
20e6302a-6070-4dfc-a750-6a3b4530916a,Acacia sieberiana
24fa52c6-0e45-484a-be95-ab92ae900263,Acacia
cb03c502-b60e-404f-be1f-dd52f90c68e2,Acacia
a03626b9-3603-4570-8dde-57a8d998c2cb,Acacia
b4c2aecc-b7b5-49d5-94e0-4484dc242c85,Acacia
ee1b3551-6691-4dc3-9d46-d842027a926e,Acacia
ad48fb18-4b52-447e-8db5-acda6ca31829,Acacia
6077aeed-e1c6-4bd6-bf61-735cbc1a5fbb,Acacia
ccbe3703-564d-498d-bc99-a5e2fc3d27cb,Acacia
c74eb3ed-86de-4cd3-9211-bbb68c327302,Acacia
d8b186f6-12c4-4de8-8be0-c4a5eeb8f7a8,Acacia
37c09358-f9d4-4184-bcef-f5027b8bad63,Acacia
fd2b41d5-02f0-41ca-86b1-ac50b342ca4c,Acacia tortalis
90d8e104-abec-47ae-8d7a-9c0ff8f88885,Acacia tortilis
70226b03-d033-401b-84c0-ede799c49e8f,Acacia tortilis
5f04a439-d14c-4bf7-8d69-4d926fe6112a,Acacia tortilis
6f3ff436-31a3-493b-87d0-13ec10dd3511,Acacia tortilis
86ec2138-6929-41cd-85e2-ff654ffe280a,Acacia tortilis
42a0dd5f-26e5-45de-9025-a100bb7a49c3,Acacia tortilis
9c832f73-f0b7-4427-a477-7b611418f5f6,Acacia tortilis
48c473b8-edd7-4979-a3ab-7d7686c76264,Acacia tortilis
d6c15895-323d-4103-b8fd-25513456d534,Acacia tortilis
0debddcc-7f57-4bac-9001-0eea2046d7f4,Acacia tortilis
a487358f-c4ae-4a14-99f3-d9b3f21f5477,Acacia tortilis
2cf290f5-72da-4159-909e-8c914101866e,Acacia tortilis
766c19de-5a26-4d79-b240-58ef153d6737,Acacia tortilis
737f90c5-5c9b-4617-a9b5-dadd9c8b8375,Acacia tortilis
f1279ac7-af2d-4ad6-a64c-0cffec54070b,Acacia tortilis
a13a735b-e583-45f8-9bc4-6e1effcabaa9,Acacia tortilis
20a1d259-3470-4204-add6-b1c0d9c21d3b,Acacia tortilis
aae87adf-2291-4067-b8a5-b685b76623c6,Acacia tortilis
31e38aa1-1cdd-43c2-b56a-856c45e3cec0,Acacia tortilis
85ff2104-2666-4af3-8fc6-2ac5689dd867,Acacia tortilis
90420c52-94b2-4700-9405-5b8cd0e1d840,Acacia tortilis
5a3c5fbc-a417-48ae-b62c-17119170e4ca,Acacia tortilis
d9f6a78f-dafd-4a84-b84d-ba4a6bf8d58d,Acacia tortilis
691c14e5-c126-4b85-bdec-399c9936129b,Acacia tortilis
31ddc086-34ca-4d57-8bc5-b1e716b6402b,Acacia tortilis
b0678e6f-a148-4f69-972b-5fad0e28fc5f,Acacia tortilis
89ece431-0582-4547-976f-5b15b7a1e0b7,Acacia tortilis
ebb7bafe-0cc6-400b-938e-4b2fee6d166a,Acacia tortilis
60b94a4d-65b4-4156-a60e-f31bbd646753,Acacia tortilis
49939267-8a27-4d53-bc91-202817cba69b,Acacia tortilis
449b3b6e-84f3-4a80-98aa-df8b0503a274,Acacia tortilis
955781c8-f7f4-4845-942f-eedb43f57474,Acacia tortilis
5fdd5e2d-5228-4692-89aa-2c93e3194a51,Acacia totilis
d223b27b-26cb-405b-9a54-29148a6e3e38,Acacia xanthaphloea
11cca0fa-9a3b-42d8-88bd-d3384cb992a9,Acacia xanthaphloea
058a471e-a323-421d-ac98-4aebadc41bcb,Acacia xanthaphloea
757f4e21-fc7f-4d15-9b14-f2ad6c881f37,Acacia xanthophloea
784141a2-0dc6-4642-b96d-8d3f19b455a7,Acacia xanthophloea
e659b2fe-d255-4518-949b-977fc850ffe8,Acacia xanthophloea
0b35e5f1-58f2-4e02-84b2-4c4c30827393,Acacia xanthophloea
2dd5d518-ced0-48df-8842-dc2dd8a4ed3f,Acacia xanthophloea
3a1ce61c-124d-431b-8691-f0716c82fc07,Acacia xanthophloes
996fc205-4346-4acd-887a-a2b2e5ba2126,Acacia xanthopholea
14c1a83e-8fc6-4e48-946f-0576990c50d5,Acacia xanthopholea
5d7a8ac5-3904-4c94-9b9c-73bac662d43d,Acacia xnthaphloea
c11d7c41-58df-4065-83d6-fd233c86153c,Acacia xnthaphloea
fbd9b069-ff45-4c64-a999-207d513ef281,Acacia xnthaphloea
2979a862-f796-45c9-a1e6-b2c7c7a9e97b,Acacia xnthaphloea
8c8db1c0-e392-44e7-83c4-8eadad92ab4a,Acaciia tortilis
ccca6df2-f810-4963-a8a9-eae82117a618,Acaciia tortilis
8d15f321-336d-4129-a7f3-886a142283e3,Acaciia tortilis
ae4dddda-7c98-40cb-912d-3e7d53c448ee,Khaya anthotheca
51a7936f-e443-496b-9c36-f091ddb3876e,Khaya anthotheca
4b42f087-72ba-4f1a-be9d-3c610dbd1ba0,Khaya anthotheca
63bb5ef5-02e8-49ae-bdbd-441f517d15c8,Khaya ivorensis
20c007b7-2615-453c-8db0-5f5acbd194c4,Khaya ivorensis
2f6ed58b-3f58-4cdd-9b73-4021536f1f7d,Acacia
bdf13e54-d616-4110-991a-4eb3812e3879,Acacia
0ac83075-6bc2-4757-adb8-4c921e4fd3b3,Acacia
